project_group	10-29	30-149	150-599	600-1199	1200+
arwiki	0	0	0	0	0
asia_wps	0	0	0	0	0
cee_wps	25	0	272	167	667
commons	0	0	218	194	845
dewiki	0	133	457	236	656
enwiki	33	969	539	359	1044
eswiki	0	0	0	7	178
frwiki	0	0	200	129	459
itwiki	0	0	0	19	123
jawiki	0	0	86	60	0
kowiki	0	0	0	0	0
malay_wps	0	0	0	0	0
meaf_wps	0	0	0	0	0
metawiki	0	0	0	0	0
nlwiki	0	0	0	0	0
other	0	0	30	71	437
ptwiki	0	0	0	0	0
ruwiki	0	0	97	119	302
sasia_wps	0	0	0	0	0
vtwiki	0	0	0	0	0
weur_wps	0	0	0	0	176
wikidata	0	0	0	0	0
zhwiki	0	0	0	0	176